movie_title,url,rating,rating_count,genre,content_rating
L&apos;amica geniale,https://www.imdb.com/title/tt7278862/,8.6,20896,Drama,TV-MA
Shameless,https://www.imdb.com/title/tt1586680/,8.5,304386,"Comedy, Drama",TV-MA
Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,https://www.imdb.com/title/tt0203082/,8.6,17098,"Animation, Action, Adventure",TV-MA
Futurama,https://www.imdb.com/title/tt0149460/,8.5,268729,"Animation, Adventure, Comedy",TV-14
Hagane no renkinjutsushi,https://www.imdb.com/title/tt0421357/,8.5,80852,"Animation, Action, Adventure",TV-PG
North &amp; South,https://www.imdb.com/title/tt0417349/,8.5,36308,"Drama, Romance",TV-PG
The Expanse,https://www.imdb.com/title/tt3230854/,8.5,180142,"Drama, Mystery, Sci-Fi",TV-14
Hannibal,https://www.imdb.com/title/tt2243973/,8.5,287636,"Crime, Drama, Horror",TV-MA
Doctor Who,https://www.imdb.com/title/tt0436992/,8.5,254680,"Adventure, Drama, Sci-Fi",TV-PG
Isanghan byeonhosa Woo Young-woo,https://www.imdb.com/title/tt20869502/,8.6,31452,Drama,TV-14
Avrupa Yakasi,https://www.imdb.com/title/tt0421291/,8.6,22518,Comedy,N/A
From the Earth to the Moon,https://www.imdb.com/title/tt0120570/,8.6,13910,"Action, Drama, History",TV-14
Wentworth,https://www.imdb.com/title/tt2433738/,8.6,25890,"Crime, Drama, Thriller",TV-MA
All Creatures Great &amp; Small,https://www.imdb.com/title/tt10590066/,8.6,19166,"Comedy, Drama",TV-PG
Umbre,https://www.imdb.com/title/tt4269716/,8.7,12146,"Crime, Drama, Thriller",TV-MA
Letterkenny,https://www.imdb.com/title/tt4647692/,8.6,31824,Comedy,TV-MA
Gintama,https://www.imdb.com/title/tt0988818/,8.7,17414,"Animation, Action, Comedy",TV-14
Miseuteo Shunshain,https://www.imdb.com/title/tt7094780/,8.7,11722,"Action, Drama, Romance",TV-MA
Foyle&apos;s War,https://www.imdb.com/title/tt0310455/,8.6,19397,"Crime, Drama, Mystery",TV-14
Shigatsu wa kimi no uso,https://www.imdb.com/title/tt3895150/,8.5,41834,"Animation, Comedy, Drama",TV-PG
